Word,Count
*,265
the,92
to,62
a,58
,49
of,43
=,40
in,38
for,37
is,35
and,34
this,26
new,25
by,21
which,21
{,20
be,20
},19
object,19
their,18
Function:,17
GameObject,17
every,16
if,15
references,15
Class:,15
Returns:,15
Parameters:,15
structure,14
all,13
as,13
sector,13
TESTS,13
void,12
tiles,12
used,11
indexes,11
operation,11
();,11
within,11
are,10
contains,10
GameObjects,9
one,9
after,9
entry,9
contained,9
GObject,9
position,9
<obj>,9
that,9
tile,9
rendering,9
public,9
(new,9
on,9
GObjects,9
had,8
reflist,8
it,8
index,8
add,8
so,8
with,8
\1,\,8
world,8
an,8
correct,8
render,8
use,8
decreased,8
from,8
RefList_DataStructure,7
return,7
added,7
or,7
objects,7
each,7
game,7
controller,6
renderer,6
belongs,6
has,6
GActor,6
null;,6
point,6
corresponding,6
Debug.Log,6
inside,6
null),6
(the,6
player,6
its,6
schedule,6
other,6
sectors,6
-update,6
way,6
data,6
class,6
not,6
hold,6
pair,6
stored,5
-Data,5
This,5
GActors,5
Data,5
FOR,5
queue,5
none,5
-,5
It,5
tick,5
component,5
!=,5
END,5
can,5
terrain,5
GameRenderer,5
will,5
instance,5
GObject_Tile_RefList,5
holds,5
gobject,5
moved,5
set,5
must,4
reference,4
update,4
GStructures,4
//Check,4
GameData,4
());,4
between,4
specific,4
-Returns,4
*******,4
act,4
rendered,4
at,4
<objectPool>,4
controller.linkActor(act);,4
OBJ_Rabbit,4
-It,4
The,4
representing,4
condition,4
-Sets,4
WorldSector,4
operations,4
Update,4
side,4
length,4
WorldSector:<sector>,4
Contains,4
<sector>,4
key,4
<obj>s,3
elements,3
access,3
GObject:<obj>,3
more,3
hierarchy,3
belong,3
GObject_Sector_RefList,3
bodypart,3
needs,3
up,3
different,3
true,3
container,3
static,3
non-interactive,3
\wall,\,3
have,3
auxiliary/utility,3
else,3
does,3
finding,3
<terrainObjectPool>,3
move,3
worldspace,3
performed,3
Unity,3
initialization,3
only,3
range,3
square,3
once,3
basic,3
type,3
destination,3
-Initializes,3
Every,3
GTile,3
instances,3
types,3
storing,3
possesses,3
components,3
may,3
progression,3
actors,3
variables,3
changed,3
children,3
any,3
such,3
classes,3
actor,3
File:,3
<gobj>,3
following,3
Destroy,3
1,3
0,3
<sector>s,3
Add,3
\sector,\,2
items,2
PlayerController,2
per,2
attributes,2
\Vector2(200+UnityEngine.Random.Range(-100,\,2
OBJ_SmallCrate,2
bodyparts,2
(obj);,2
around,2
Use,2
<GameObject>,2
init,2
state,2
(or,2
could,2
-destroy,2
100)));,2
For,2
fulfillment,2
old,2
Note,2
\200+UnityEngine.Random.Range(-100,\,2
24));,2
OBJ_RockItem,2
sofa..,2
certain,2
focus,2
pool,2
classifies,2
Initialize,2
All,2
gobj,2
procedures,2
GObject_Tile_RefList),2
interactive,2
UPDATE,2
GStructure,2
intuitive,2
sprite,2
reflect,2
character,2
\class,\,2
animal,2
\Vector2(crate.pos_x,\,2
Initializes,2
\door,\,2
itself,2
gobj.renderedGameObject.transform;,2
renders,2
effect,2
GObject_Structures_RefList,2
works,2
mesh,2
destruction,2
accessing,2
Environmental,2
().runtimeAnimatorController,2
pairs,2
coffee,2
available,2
gameObject,2
\Vector2(24,\,2
BOOL_YN.YES,2
setupObject,2
bodyparts.transform.parent,2
\barrel,\,2
-create,2
bool,2
printDebug,2
parts,2
dequeue,2
Instantiate(characterAnimStructure),2
GStructure),2
TESTING,2
OBJ_Player;,2
\100),\,2
initObjectPool,2
biological,2
(such,2
unique,2
Animation,2
\RefList_DataStructures,\,2
