File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameController\Scripts\GameCameraController.cs,114,71,51,10,20,1,23,53,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameController\Scripts\GameController.cs,95,66,53,7,22,8,7,77,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameController\Scripts\KeyboardInputController.cs,55,43,30,5,12,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GObject.cs,75,45,33,6,17,0,13,54,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GObjectData.cs,11,4,3,0,4,0,3,23,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GActors\GActor.cs,106,82,59,13,20,1,4,47,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GActors\Animals\GAnimal.cs,14,10,6,0,4,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GActors\Animals\OBJ_Rabbit.cs,16,11,8,0,5,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GActors\Behaviours\Behaviour_PaceRandomly.cs,37,25,15,3,9,0,3,9,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GActors\Behaviours\Behaviour_PatrolPoints.cs,46,36,26,3,9,0,1,5,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GActors\Behaviours\GBehaviour.cs,18,11,8,0,7,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GActors\Characters\EquippableSlots.cs,90,76,52,27,14,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GActors\Characters\GCharacter.cs,34,24,17,0,9,0,1,2,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GActors\Characters\Player\OBJ_Player.cs,25,19,11,0,6,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GActors\Species\Species.cs,9,4,3,0,5,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GItems\GEquippableItem.cs,18,11,8,1,6,0,1,6,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GItems\GItem.cs,80,59,41,8,18,0,3,17,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GItems\OBJ_Jeans1.cs,18,13,10,1,5,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GItems\OBJ_RockItem.cs,11,7,5,0,4,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GItems\OBJ_Shirt1.cs,19,14,11,1,5,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GItems\OBJ_Shoes1.cs,18,13,10,1,5,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GStructures\GStructure.cs,75,59,42,6,13,0,3,17,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GStructures\OBJ_PalmTree1.cs,13,9,5,0,4,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GStructures\OBJ_PalmTree2.cs,13,9,5,0,4,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GStructures\OBJ_SmallCrate.cs,13,9,5,0,4,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GStructures\OBJ_TropicalBush1.cs,13,9,5,0,4,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GStructures\OBJ_TropicalBush2.cs,13,9,5,0,4,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GStructures\OBJ_TropicalBush3.cs,13,9,5,0,4,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GStructures\OBJ_TropicalTree1.cs,13,9,5,0,4,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GStructures\OBJ_TropicalTree2.cs,13,9,5,0,4,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\Scripts\GameData.cs,365,245,161,59,61,1,59,332,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\Scripts\GameData_Types.cs,529,363,277,68,45,6,121,917,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\Scripts\GTile.cs,68,54,39,14,12,0,2,11,0,0
