Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,67,4526,3120,2289,488,818,23,588,2866,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets,67,4526,3120,2289,488,818,23,588,2866,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameController,3,264,180,134,22,54,9,30,130,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameController\Scripts,3,264,180,134,22,54,9,30,130,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData,31,1851,1308,926,217,327,8,216,1448,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects,27,824,595,408,70,197,1,32,180,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GActors,10,395,298,205,46,88,1,9,63,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GActors\Animals,2,30,21,14,0,9,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GActors\Behaviours,3,101,72,49,6,25,0,4,14,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GActors\Characters,3,149,119,80,27,29,0,1,2,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GActors\Characters\Player,1,25,19,11,0,6,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GActors\Species,1,9,4,3,0,5,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GItems,6,164,117,85,12,43,0,4,23,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GStructures,9,179,131,82,6,45,0,3,17,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\Scripts,4,1027,713,518,147,130,7,184,1268,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer,19,2008,1337,995,222,334,6,337,1263,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Objects,13,1197,797,599,132,195,5,205,677,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Objects\Scripts,13,1197,797,599,132,195,5,205,677,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Objects\Scripts\ActorControllers,4,393,315,238,42,65,1,13,46,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Scripts,4,537,372,264,74,97,1,68,365,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Terrain,2,274,168,132,16,42,0,64,221,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Terrain\Scripts,2,274,168,132,16,42,0,64,221,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Scripts,4,120,82,72,6,33,0,5,25,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Tests,1,13,7,5,0,6,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\UI,3,136,109,86,7,27,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\UI\GenericPanels,1,52,43,34,3,9,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\UI\GenericPanels\SmallHoveringPanel,1,52,43,34,3,9,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\UI\GenericPanels\SmallHoveringPanel\Scripts,1,52,43,34,3,9,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\UI\InfoPanel,1,18,12,9,0,6,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\WorldMachine,6,134,97,71,14,37,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\WorldMachine\Biomes,4,41,25,19,0,16,0,0,0,0,0
