Word,Count
*,48
|,25
of,10
,10
for,6
the,5
in,5
-,5
data,5
+-------+,4
Yes,4
to,4
No,4
which,4
GObject_RefLists,4
types,4
a,4
environmental,3
may,3
End,3
All,3
is,3
object,3
renderer,3
init,2
rocks,2
queue,2
testing:,2
render,2
used,2
update,2
RENDER,2
terrain,2
\wall,\,2
range,2
\test,\,2
\animals,\,2
Add,2
\maker,\,2
\type,\,2
\barrel,\,2
coffee,2
their,2
OPERATIONS,2
triangle,2
change,2
default,2
sofa..,2
variables,2
actors,2
references,2
any,2
out,2
\NPCs,\,2
be,2
\vegetation,\,2
operation,2
some,2
an,2
\player,\,2
by,2
on,2
use,2
sector,2
\GObjects,\,2
\door,\,2
UPDATE,2
picked,1
window..,1
TEST,1
moved,1
up,1
tiles,1
dropped,1
game,1
within,1
initialization,1
has,1
non-mobiles:,1
\table,\,1
mobile,1
\trees,\,1
every,1
frame,1
whose,1
like,1
other,1
called,1
\inventory,\,1
classification:,1
non-interactables:,1
int,1
sectors,1
balance,1
form,1
Update,1
Items:,1
rock,1
Use,1
GObject,1
list,1
criteria,1
salty,1
critters,1
GObject_Items,1
Movable,1
Renderer,1
+-------------------------------------+------------------------------+,1
7;,1
queue_count,1
non-movables:,1
interact,1
Mobile,1
species,1
containing,1
column..,1
effect,1
carried,1
placement,1
LATER,1
interactable,1
after,1
OF,1
movable,1
are,1
accord,1
Interactable,1
(maybe?),1
holding,1
mobiles:,1
=,1
mesh,1
interactables:,1
aestethical,1
meet,1
organized,1
and,1
Initialize,1
inanimate,1
pool,1
classification,1
own,1
+-------+-------+-----------+,1
member,1
through,1
with,1
+-------+-------+---------+,1
Destroy,1
following,1
1,1
initial,1
items,1
represents,1
private,1
arranged,1
can,1
END,1
previous,1
Actors:,1
GObjects,1
world,1
0,1
its,1
move,1
\"\unplaced"\\,1
objects,1
Environmental,1
readonly,1
or,1
Structures:,1
once,1
Lists,1
DELETE,1
non-environmentals:,1
leaf,1
In,1
Game,1
GObject_Actors,1
per,1
this,1
GObject_Structures,1
\statue,\,1
typically,1
movables:,1
\tree,\,1
environmentals:,1
