Word,Count
*,48
|,25
,10
of,9
for,8
=,6
in,6
-,5
data,5
the,5
GObject_RefLists,4
a,4
Yes,4
No,4
types,4
renderer,4
+-------+,4
which,4
any,3
All,3
may,3
object,3
use,3
is,3
environmental,3
End,3
\player,\,2
pool,2
update,2
Initialize,2
queue,2
previous,2
UPDATE,2
\wall,\,2
Destroy,2
i,2
Add,2
rocks,2
\animals,\,2
init,2
\maker,\,2
RENDER,2
terrain,2
their,2
to,2
triangle,2
variables,2
test,2
references,2
\type,\,2
render,2
\barrel,\,2
coffee,2
GObject,2
\NPCs,\,2
be,2
portion,2
operation,2
objects,2
sofa..,2
on,2
used,2
sector,2
tiles,2
\GObjects,\,2
OPERATIONS,2
actors,2
end,2
\vegetation,\,2
\door,\,2
some,2
an,2
other,1
procedures,1
whose,1
mobile,1
non-mobiles:,1
has,1
moved,1
window..,1
int,1
picked,1
Update,1
Use,1
TEST,1
},1
\GameRenderer.GRenderer.ScheduleTerrainUpdate(RenderTerrainUpdateOperations.CREATE,\,1
up,1
Renderer,1
().mesh,1
dropped,1
game,1
within,1
initialization,1
+-------------------------------------+------------------------------+,1
7;,1
\table,\,1
queue_count,1
\trees,\,1
every,1
frame,1
section,1
like,1
interact,1
called,1
\inventory,\,1
classification:,1
sectors,1
non-interactables:,1
().material,1
Mobile,1
species,1
testing;,1
environmentals:,1
balance,1
form,1
column..,1
Items:,1
rock,1
effect,1
list,1
criteria,1
salty,1
{,1
texMan.terrain_material;,1
critters,1
GObject_Items,1
Movable,1
terrainObjectPool.pop,1
after,1
are,1
Interactable,1
later,1
non-movables:,1
\sectorsWithinRange.Add(worldSectors[x,\,1
(maybe?),1
containing,1
meet,1
organized,1
carried,1
placement,1
LATER,1
interactable,1
GameObject,1
OF,1
movable,1
own,1
32);,1
accord,1
through,1
OperationMode.WITHIN_CHARACTER_RANGE;,1
holding,1
mobiles:,1
<,1
mesh,1
interactables:,1
aestethical,1
t_mesh.GetComponent<MeshRenderer>,1
+-------+-------+---------+,1
(int,1
and,1
following,1
inanimate,1
1,1
classification,1
y].mode,1
private,1
+-------+-------+-----------+,1
member,1
Actors:,1
with,1
sectorsWithinRange[i]);,1
++i),1
GObjects,1
();,1
initial,1
items,1
represents,1
t_mesh,1
arranged,1
can,1
END,1
world,1
0,1
For,1
\worldSectors[x,\,1
readonly,1
or,1
delete,1
its,1
move,1
\"\unplaced"\\,1
generateMesh,1
sectorsWithinRange.Count;,1
Environmental,1
testing,1
Structures:,1
leaf,1
once,1
Lists,1
t_mesh.GetComponent<MeshFilter>,1
DELETE,1
non-environmentals:,1
Game,1
In,1
per,1
GObject_Actors,1
\(100,\,1
this,1
GObject_Structures,1
\statue,\,1
typically,1
movables:,1
y]);,1
\tree,\,1
0;,1
