Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,20,922,607,466,51,220,1,95,419,0,0
C:\Users\David\Documents\2D-Survival,20,922,607,466,51,220,1,95,419,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival,20,922,607,466,51,220,1,95,419,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets,20,922,607,466,51,220,1,95,419,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameController,1,54,39,31,2,13,0,2,10,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameController\Scripts,1,54,39,31,2,13,0,2,10,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData,12,241,160,115,10,67,0,14,48,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects,9,74,39,30,0,35,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GActors,4,33,16,12,0,17,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GActors\Species,1,9,4,3,0,5,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GItems,2,16,8,6,0,8,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GStructures,2,16,8,6,0,8,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\Scripts,3,167,121,85,10,32,0,14,48,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer,4,351,238,182,19,90,0,23,80,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Objects,1,29,19,15,1,8,0,2,7,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Objects\Scripts,1,29,19,15,1,8,0,2,7,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Scripts,1,192,127,93,12,52,0,13,41,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Terrain,2,130,92,74,6,30,0,8,32,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Terrain\Scripts,2,130,92,74,6,30,0,8,32,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Scripts,3,276,170,138,20,50,1,56,281,0,0
